,p_value,stat,test,result
0,2.0033822775594787e-307,895160.1630328252,KMeans = GMM = FuzzyCMeans = Agglomerative = Spectral,False
1,6.483769385964097e-117,854.0276092263856,GMM = KMeans,False
2,3.2418846929820485e-117,854.0276092263856,GMM > KMeans,False
3,6.287421906001907e-117,-854.4967401143805,FuzzyCMeans = GMM,False
4,1.0,-854.4967401143805,FuzzyCMeans > GMM,True
5,2.752463030279641e-69,120.2723052678489,FuzzyCMeans = KMeans,False
6,1.3762315151398206e-69,120.2723052678489,FuzzyCMeans > KMeans,False
7,6.287421906001907e-117,-854.4967401143805,FuzzyCMeans = GMM,False
8,1.0,-854.4967401143805,FuzzyCMeans > GMM,True
9,2.510161140187501e-226,76784.97668425349,Agglomerative = FuzzyCMeans,False
10,1.2550805700937505e-226,76784.97668425349,Agglomerative > FuzzyCMeans,False
11,5.565220751900307e-92,306.2789158196124,Agglomerative = GMM,False
12,2.7826103759501536e-92,306.2789158196124,Agglomerative > GMM,False
13,1.590481090544805e-89,276.8411343383373,Spectral = FuzzyCMeans,False
14,7.952405452724024e-90,276.8411343383373,Spectral > FuzzyCMeans,False
15,5.086041277949428e-105,-523.65107310049,Spectral = GMM,False
16,1.0,-523.65107310049,Spectral > GMM,True
