,KMeans,Max,Min
0,0.08393528130131708,KMeans,KMeans
1,0.08384876806468017,KMeans,KMeans
11,0.08375537173983694,KMeans,KMeans
123,0.08367962215247332,KMeans,KMeans
1234,0.08347409693166785,KMeans,KMeans
12345,0.08358390665438797,KMeans,KMeans
14,0.08339852724073535,KMeans,KMeans
17,0.08361443926060252,KMeans,KMeans
19,0.08336822898565144,KMeans,KMeans
21,0.08372776121840572,KMeans,KMeans
3,0.08370723633389289,KMeans,KMeans
323,0.08356629473207647,KMeans,KMeans
4,0.08404991577924241,KMeans,KMeans
42,0.08365202399400709,KMeans,KMeans
4255,0.08390750103136993,KMeans,KMeans
4257,0.08370016672083358,KMeans,KMeans
453,0.08370016672083358,KMeans,KMeans
5,0.08370016672083358,KMeans,KMeans
5323,0.08358390665438797,KMeans,KMeans
537,0.08358390665438797,KMeans,KMeans
57,0.08376251276445498,KMeans,KMeans
583,0.08367962215247332,KMeans,KMeans
61,0.08373486653798415,KMeans,KMeans
617,0.08361139914724594,KMeans,KMeans
63,0.08379017501299926,KMeans,KMeans
68,0.08347115158274704,KMeans,KMeans
7,0.08401871823229204,KMeans,KMeans
77,0.0837861521228945,KMeans,KMeans
9,0.0836695102267136,KMeans,KMeans
Average,0.08369177229901478,KMeans,KMeans
P-Value,0.0,KMeans,KMeans
T-Statistics,1.0,KMeans,KMeans
