p_value,stat,test,result
1.11E-85,572.81,KMeans = GMM = FuzzyCMeans = Agglomerative = Spectral,FALSE
7.34E-11,8.01,GMM = KMeans,FALSE
3.67E-11,8.01,GMM > KMeans,FALSE
1.95E-11,-8.36,FuzzyCMeans = GMM,FALSE
1.00E+00,-8.36,FuzzyCMeans > GMM,TRUE
5.78E-29,-21.73,FuzzyCMeans = KMeans,FALSE
1.00E+00,-21.73,FuzzyCMeans > KMeans,TRUE
9.72E-132,1571.08,Agglomerative = KMeans,FALSE
4.86E-132,1571.08,Agglomerative > KMeans,FALSE
5.00E-24,17.21,Agglomerative = GMM,FALSE
2.50E-24,17.21,Agglomerative > GMM,FALSE
4.71E-72,134.82,Spectral = KMeans,FALSE
2.35E-72,134.82,Spectral > KMeans,FALSE
4.34E-07,-5.72,Spectral = GMM,FALSE
1.00E+00,-5.72,Spectral > GMM,TRUE
