,KMeans,GMM,Max,Min
68,0.059160171110629205,0.07089143168450314,GMM,KMeans
123,0.05914192191754772,0.07035724862626787,GMM,KMeans
4255,0.05916017111062921,0.07032618485820272,GMM,KMeans
17,0.0593175734900086,0.07576640888459019,GMM,KMeans
1,0.059296168672166055,0.07290838454535843,GMM,KMeans
63,0.05942381201176804,0.0728436744249695,GMM,KMeans
11,0.059165459623430394,0.07090731710027198,GMM,KMeans
77,0.059232711065923746,0.07273208089465395,GMM,KMeans
4,0.05916281123442871,0.058859935969858015,KMeans,GMM
453,0.05921174393996442,0.0730057382640022,GMM,KMeans
537,0.059170781185212705,0.07089143168450354,GMM,KMeans
5323,0.05916017111062921,0.07026417709219111,GMM,KMeans
3,0.05956425545158854,0.05907247397258292,KMeans,GMM
42,0.05916281123442871,0.0728436744249695,GMM,KMeans
323,0.059170781185212705,0.058858436830647703,KMeans,GMM
21,0.059160171110629205,0.05885399125825186,KMeans,GMM
617,0.059160171110629205,0.07290838454535843,GMM,KMeans
7,0.059160171110629205,0.05885399125825205,KMeans,GMM
0,0.05916017111062921,0.07089143168450354,GMM,KMeans
1234,0.059160171110629205,0.0730057382640022,GMM,KMeans
9,0.059170781185212705,0.058856946330525996,KMeans,GMM
61,0.05916017111062921,0.07761385840841195,GMM,KMeans
57,0.05916281123442871,0.07100283823463646,GMM,KMeans
583,0.05940384460846633,0.0588525266914462,KMeans,GMM
19,0.05914192191754763,0.0730057382640022,GMM,KMeans
12345,0.059160171110629205,0.07090731710027198,GMM,KMeans
14,0.05916017111062921,0.0588525266914462,KMeans,GMM
4257,0.05916017111062921,0.07032618485820272,GMM,KMeans
5,0.059160171110629205,0.07263034399464018,GMM,KMeans
Average,0.05920629015156948,0.06852035920143187,GMM,KMeans
P-Value,0.0,0.0,KMeans,KMeans
T-Statistics,1.0,1.0,KMeans,KMeans
