,p_value,stat,test,result
0,4.671862699740958e-285,3204321.7672179407,2 = 3 = 4 = 5,False
1,8.810844756686237e-141,2278.6573808905864,3 = 2,False
2,4.405422378343118e-141,2278.6573808905864,3 > 2,False
3,1.0184927055137427e-86,-246.64671067547513,4 = 3,False
4,1.0,-246.64671067547513,4 > 3,True
5,6.264687833759073e-157,4426.291108171205,4 = 2,False
6,3.132343916879536e-157,4426.291108171205,4 > 2,False
7,1.0184927055137427e-86,-246.64671067547513,4 = 3,False
8,1.0,-246.64671067547513,4 > 3,True
9,2.983293320106086e-81,196.94432642965722,5 = 4,False
10,1.491646660053043e-81,196.94432642965722,5 > 4,False
11,3.795547479902146e-67,-110.10330517852911,5 = 3,False
12,1.0,-110.10330517852911,5 > 3,True
