30RandomStatesWith3ClustersStatisiticalTestResults
p_value,stat,test,result
0.00E+00,8609968.36,KMeans = GMM = FuzzyCMeans = Agglomerative = Spectral,FALSE
5.79E-160,-3361.61,GMM = KMeans,FALSE
1.00E+00,-3361.61,GMM > KMeans,TRUE
3.53E-158,3138.98,FuzzyCMeans = GMM,FALSE
1.77E-158,3138.98,FuzzyCMeans > GMM,FALSE
3.53E-158,3138.98,FuzzyCMeans = GMM,FALSE
1.77E-158,3138.98,FuzzyCMeans > GMM,FALSE
7.50E-141,-1614.36,FuzzyCMeans = KMeans,FALSE
1.00E+00,-1614.36,FuzzyCMeans > KMeans,TRUE
2.75E-211,-24095.89,Agglomerative = FuzzyCMeans,FALSE
1.00E+00,-24095.89,Agglomerative > FuzzyCMeans,TRUE
3.95E-135,1296.10,Agglomerative = GMM,FALSE
1.98E-135,1296.10,Agglomerative > GMM,FALSE
1.41E-161,3576.43,Spectral = Agglomerative,FALSE
7.04E-162,3576.43,Spectral > Agglomerative,FALSE
5.12E-98,-311.87,Spectral = FuzzyCMeans,FALSE
1.00E+00,-311.87,Spectral > FuzzyCMeans,TRUE
