,p_value,stat,test,result
0,1.5957431905338622e-78,394.89884400999625,KMeans = GMM = FuzzyCMeans = Agglomerative = Spectral,False
1,4.0797368305225e-13,-9.228546146029396,GMM = KMeans,False
2,0.999999999999796,-9.228546146029396,GMM > KMeans,True
3,6.163870507323549e-12,8.529184874448967,FuzzyCMeans = GMM,False
4,3.0819352536617745e-12,8.529184874448967,FuzzyCMeans > GMM,False
5,6.163870507323549e-12,8.529184874448967,FuzzyCMeans = GMM,False
6,3.0819352536617745e-12,8.529184874448967,FuzzyCMeans > GMM,False
7,8.248815715397646e-47,-43.03701861019326,FuzzyCMeans = KMeans,False
8,1.0,-43.03701861019326,FuzzyCMeans > KMeans,True
9,1.7361072774684521e-196,-13654.218965977756,Agglomerative = FuzzyCMeans,False
10,1.0,-13654.218965977756,Agglomerative > FuzzyCMeans,True
11,1.348115009941963e-15,-10.73766577174181,Agglomerative = GMM,False
12,0.9999999999999993,-10.73766577174181,Agglomerative > GMM,True
13,1.7427683556811565e-14,10.053992789515272,Spectral = GMM,False
14,8.713841778405782e-15,10.053992789515272,Spectral > GMM,False
15,4.901385389820154e-130,1065.9658200766771,Spectral = FuzzyCMeans,False
16,2.450692694910077e-130,1065.9658200766771,Spectral > FuzzyCMeans,False
17,5.001061441663015e-51,50.82010937694327,Spectral = KMeans,False
18,2.5005307208315074e-51,50.82010937694327,Spectral > KMeans,False
