,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.054134955076655694,0.07665106332627486,0.033400424895990585,,0.06484155298498143,GMM,FuzzyCMeans
94,0.053395942086539576,0.0719797286578212,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
60,0.05138661249284536,0.07213424953681144,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
17,0.05149240602992664,0.07239981081649444,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
1,0.05145969936176882,0.0761975197527652,0.033400424895990585,,0.06510519570902945,GMM,FuzzyCMeans
63,0.05367541849704376,0.07484964517339901,0.033400424895990585,,0.06496096952702424,GMM,FuzzyCMeans
11,0.05412699751112764,0.07543454962639994,0.03342901282297468,,0.06510519570902945,GMM,FuzzyCMeans
77,0.051419308871523,0.07239981081649444,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
4,0.05396312380813027,0.07665106332627486,0.033400424895990585,,0.0644835330477335,GMM,FuzzyCMeans
45,0.05152511603084384,0.07665106332627486,0.03342901282297468,,0.0648077577732658,GMM,FuzzyCMeans
24,0.05335511668788606,0.07239981081649444,0.033400424895990585,,0.06499476911098172,GMM,FuzzyCMeans
15,0.05138661249284536,0.07597574145230485,0.033400424895990585,,0.0651389957299891,GMM,FuzzyCMeans
3,0.05128087078970657,0.07597574145230485,0.033400424895990585,,0.06510519570902945,GMM,FuzzyCMeans
42,0.05138661249284536,0.07597574145230485,0.033400424895990585,0.12299011387955257,0.06484155298498143,Agglomerative,FuzzyCMeans
32,0.05112719889702539,0.0761975197527652,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
21,0.05459662546817739,0.07597574145230485,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
62,0.05328924466502249,0.07246731634921519,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
7,0.052135998589932245,0.07250106432365536,0.033400424895990585,,0.06499476911098172,GMM,FuzzyCMeans
0,0.051419308871523,0.07597574145230485,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
78,0.05138661249284536,0.07209075463888967,0.03342901282297468,,0.0648077577732658,GMM,FuzzyCMeans
9,0.05124052231294572,0.07235629935036286,0.033400424895990585,,0.06484155298498143,GMM,FuzzyCMeans
61,0.05138661249284536,0.0761975197527652,0.033400424895990585,,0.06484155298498143,GMM,FuzzyCMeans
57,0.05145969936176882,0.07665106332627486,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
84,0.05128087078970657,0.0764629553872413,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
19,0.05124052231294572,0.0761975197527652,0.03342901282297468,,0.06499476911098172,GMM,FuzzyCMeans
56,0.05138661249284536,0.07235629935036286,0.033400424895990585,,0.06444975396626919,GMM,FuzzyCMeans
2,0.05138661249284536,0.0761975197527652,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
14,0.05138661249284536,0.07665106332627486,0.03342901282297468,,0.06444975396626919,GMM,FuzzyCMeans
87,0.0548774112966062,0.0719797286578212,0.033400424895990585,,0.0648077577732658,GMM,FuzzyCMeans
46,0.05124052231294572,0.07661751664582905,0.03342901282297468,,0.0648077577732658,GMM,FuzzyCMeans
Average,0.052160992652417124,0.07475170542680055,0.03340614248138741,0.12299011387955257,0.06484218264120772,Agglomerative,FuzzyCMeans
