,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.13485392140937308,0.13335332827955398,0.12795392429322408,,0.25974002674978536,Spectral,FuzzyCMeans
94,0.13540745133817567,0.13802196416476153,0.1279715131397519,,0.25827996884585475,Spectral,FuzzyCMeans
60,0.13457909359205317,0.1335723909713682,0.12795392429322408,,0.2588046789694525,Spectral,FuzzyCMeans
17,0.13508781688301832,0.21584760599364874,0.1279715131397519,,0.25986913337837175,Spectral,FuzzyCMeans
1,0.1375493200505734,0.23147749808740087,0.1279715131397519,,0.26026541369925305,Spectral,FuzzyCMeans
63,0.13686638299990495,0.2333951836918639,0.12795392429322408,,0.26014700413664665,Spectral,FuzzyCMeans
11,0.13590688250292762,0.23965255326251755,0.12797404271990603,,0.2579419829500731,Spectral,FuzzyCMeans
77,0.1371621757794456,0.13739696826915632,0.12795392429322408,,0.25833171666413635,Spectral,FuzzyCMeans
4,0.13714564830112214,0.13796287110929772,0.12797404271990603,,0.2582082603001122,Spectral,FuzzyCMeans
45,0.13714564830112214,0.23954835578744654,0.12795392429322408,,0.2598890002961022,Spectral,FuzzyCMeans
24,0.1364068503512118,0.13338810301085965,0.12797404271990603,,0.26030175984865056,Spectral,FuzzyCMeans
15,0.13416127709915088,0.13355748189487462,0.12795392429322408,,0.2598505474102435,Spectral,FuzzyCMeans
3,0.13600928079309038,0.138089497534783,0.12795392429322408,,0.26026541369925305,Spectral,FuzzyCMeans
42,0.13716306618517712,0.23970620456025407,0.12795392429322408,0.13427522312311513,0.2588643325267929,Spectral,FuzzyCMeans
32,0.1341811265235885,0.23869754218991784,0.1279715131397519,,0.259966041675666,Spectral,FuzzyCMeans
21,0.13714584739535213,0.13742830122908692,0.12797404271990603,,0.25815269392854323,Spectral,FuzzyCMeans
62,0.1372290632862842,0.13334259976446558,0.12795392429322408,,0.2578547312105455,Spectral,FuzzyCMeans
7,0.13722671678850246,0.13324224785258082,0.12797404271990603,,0.25983602780129617,Spectral,FuzzyCMeans
0,0.13718484443613616,0.1332611370192799,0.1279715131397519,,0.25617299519768577,Spectral,FuzzyCMeans
78,0.13706472766185537,0.13581983737974643,0.18394584603459957,,0.2602613139467399,Spectral,GMM
9,0.1372290632862842,0.21658487082091632,0.1279715131397519,,0.25728137390788086,Spectral,FuzzyCMeans
61,0.13561898516317927,0.23151564646886497,0.12795392429322408,,0.25829247276219824,Spectral,FuzzyCMeans
57,0.13729449125910512,0.13803597650360047,0.18394584603459957,,0.25600726916218874,Spectral,KMeans
84,0.13722671678850246,0.13788116392238864,0.18358867766709958,,0.25722272080513964,Spectral,KMeans
19,0.13714564830112214,0.21451143109745405,0.12795392429322408,,0.25797629261316185,Spectral,FuzzyCMeans
56,0.13714564830112214,0.13340482244870278,0.12795392429322408,,0.2598505474102435,Spectral,FuzzyCMeans
2,0.13411560659997704,0.23970620456025407,0.1279715131397519,,0.2577251425774666,Spectral,FuzzyCMeans
14,0.13714584739535213,0.21587396721254234,0.12797404271990603,,0.25717586386598895,Spectral,FuzzyCMeans
87,0.1341037037931928,0.13577487441604602,0.12795392429322408,,0.2603736456308857,Spectral,FuzzyCMeans
46,0.1341397080871794,0.1332611370192799,0.12795392429322408,,0.2598505474102435,Spectral,FuzzyCMeans
Average,0.136221418688436,0.1731103922174304,0.13354933860463786,0.13427522312311513,0.2588252973126867,Spectral,FuzzyCMeans
