,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.08595310007168237,0.08569457594009527,0.09384189027385008,,0.09058058166662541,FuzzyCMeans,GMM
94,0.0863610787076147,0.08569457594009527,0.09381028084240496,,0.09064074186515869,FuzzyCMeans,GMM
60,0.0863610787076147,0.08550658832476789,0.09381028084240496,,0.0906708494771442,FuzzyCMeans,GMM
17,0.08630030898865601,0.09122624449372976,0.09384189027385008,,0.09064074186515869,FuzzyCMeans,KMeans
1,0.08606148346025908,0.08561389760273791,0.09384189027385008,,0.0904604814530873,FuzzyCMeans,GMM
63,0.0863610787076147,0.08564077168099044,0.09384189027385008,,0.09058058166662541,FuzzyCMeans,GMM
11,0.0863610787076147,0.09140940005546781,0.09384189027385008,,0.09076128232862782,FuzzyCMeans,KMeans
77,0.0863610787076147,0.09202466350524664,0.09384189027385008,,0.09058058166662541,FuzzyCMeans,KMeans
4,0.08575851162833176,0.09162391254242216,0.09384189027385008,,0.08953073612277607,FuzzyCMeans,KMeans
45,0.08497943085570336,0.09115506319000792,0.09384189027385008,,0.09058058166662541,FuzzyCMeans,KMeans
24,0.0863610787076147,0.09137882844801398,0.09384189027385008,,0.09076128232862782,FuzzyCMeans,KMeans
15,0.0863610787076147,0.09171612016364285,0.09384189027385008,,0.09079146327442011,FuzzyCMeans,KMeans
3,0.08497943085570336,0.08572150611864604,0.09381028084240496,,0.09061065259400801,FuzzyCMeans,KMeans
42,0.0863610787076147,0.0909729336904284,0.09384189027385008,0.1608629813739069,0.09061065259400801,Agglomerative,KMeans
32,0.0863610787076147,0.0857754225679119,0.09384189027385008,,0.09061065259400801,FuzzyCMeans,GMM
21,0.0863610787076147,0.08531951734171864,0.09384189027385008,,0.09058058166662541,FuzzyCMeans,GMM
62,0.0863610787076147,0.09137882844801398,0.09381028084240496,,0.0906708494771442,FuzzyCMeans,KMeans
7,0.08633374941795943,0.09202466350524664,0.09384189027385008,,0.0904305022881905,FuzzyCMeans,KMeans
0,0.0836117890668955,0.09202466350524664,0.09384189027385008,,0.09082166254623039,FuzzyCMeans,KMeans
78,0.08415638326824194,0.09202466350524664,0.09384189027385008,,0.08979602165216129,FuzzyCMeans,KMeans
9,0.08427702942616759,0.09171612016364285,0.09384189027385008,,0.09076128232862782,FuzzyCMeans,KMeans
61,0.08504392016769013,0.08610049133582497,0.09381028084240496,,0.09064074186515869,FuzzyCMeans,KMeans
57,0.08476850860045129,0.08564077168099044,0.09384189027385008,,0.0906708494771442,FuzzyCMeans,KMeans
84,0.08384446908437412,0.09122624449372976,0.09384189027385008,,0.09058058166662541,FuzzyCMeans,KMeans
19,0.0863610787076147,0.08564077168099044,0.09384189027385008,,0.09061065259400801,FuzzyCMeans,GMM
56,0.08627011511556235,0.0857754225679119,0.09384189027385008,,0.09061065259400801,FuzzyCMeans,GMM
2,0.08480687622911832,0.08857894384733789,0.09384189027385008,,0.09082166254623039,FuzzyCMeans,KMeans
14,0.08427702942616759,0.08566766446049132,0.09384189027385008,,0.09079146327442011,FuzzyCMeans,KMeans
87,0.0863610787076147,0.09202466350524664,0.09384189027385008,,0.08956013855852916,FuzzyCMeans,KMeans
46,0.0863610787076147,0.08593762056700371,0.09384189027385008,,0.09052049485484683,FuzzyCMeans,GMM
Average,0.08568257458565234,0.08874118516242824,0.09383662203527589,0.1608629813739069,0.0905426666851159,Agglomerative,KMeans
