,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.09197727604689254,0.08440036928048737,0.08758181674419098,,0.08943083038334987,KMeans,GMM
94,0.09197727604689254,0.08394614138793684,0.08758181674419098,,0.0889168843940793,KMeans,GMM
60,0.09221020759809243,0.0840159159859684,0.08758258935643719,,0.08858493091102226,KMeans,GMM
17,0.09197727604689254,0.08470539507906713,0.08758181674419098,,0.0893528690218313,KMeans,GMM
1,0.09197727604689254,0.08453725241815543,0.08758181674419098,,0.08858493091102226,KMeans,GMM
63,0.09186760080368847,0.08445335822000763,0.08754768466517714,,0.08928044832548168,KMeans,GMM
11,0.09195486963003267,0.08388030232175718,0.08754768466517714,,0.0888737456561724,KMeans,GMM
77,0.09197727604689254,0.08446137007787281,0.08758181674419098,,0.08858493091102226,KMeans,GMM
4,0.09197727604689254,0.0846782183498111,0.08758181674419098,,0.08935730660531943,KMeans,GMM
45,0.09197727604689254,0.08394506089228859,0.08758181674419098,,0.08881838782518758,KMeans,GMM
24,0.09207305590898812,0.08413835953121987,0.08758181674419098,,0.08873583544583381,KMeans,GMM
15,0.09195486963003267,0.08474491281529978,0.08754768466517714,,0.08883242148950563,KMeans,GMM
3,0.09197727604689254,0.08393496109043627,0.08758181674419098,,0.08856686049950858,KMeans,GMM
42,0.09197727604689254,0.08393496109043627,0.08758181674419098,0.08639882100693314,0.08881838782518758,KMeans,GMM
32,0.09197727604689254,0.08408815387560598,0.08758181674419098,,0.08863501780425441,KMeans,GMM
21,0.09209559244237743,0.08407406682625501,0.08758258935643719,,0.08948861167461476,KMeans,GMM
62,0.09195486963003267,0.0840776563344405,0.08758181674419098,,0.08929951727836515,KMeans,GMM
7,0.0921649098655796,0.08411979167117516,0.08758181674419098,,0.08891076474149726,KMeans,GMM
0,0.09197727604689254,0.0841968066356188,0.08758181674419098,,0.08894006446291802,KMeans,GMM
78,0.09197727604689254,0.08408815387560598,0.08758181674419098,,0.08898600481201446,KMeans,GMM
9,0.09155760487215737,0.08427746426291924,0.08758181674419098,,0.0888737456561724,KMeans,GMM
61,0.09197727604689254,0.08465567533206021,0.08759958784525557,,0.08899632237650582,KMeans,GMM
57,0.09197727604689254,0.08444108324657096,0.08758181674419098,,0.08903310001987172,KMeans,GMM
84,0.09246105624532502,0.08393496109043627,0.08754768466517714,,0.089318150942226,KMeans,GMM
19,0.09197727604689254,0.08410157476088828,0.08758181674419098,,0.08858482895646713,KMeans,GMM
56,0.09243830530527991,0.08393496109043627,0.08758181674419098,,0.08891657192112302,KMeans,GMM
2,0.09190992945010996,0.08398542428693527,0.08758181674419098,,0.08944948569173201,KMeans,GMM
14,0.09197727604689254,0.08438282858951285,0.08758181674419098,,0.08856207442464462,KMeans,GMM
87,0.09195704204449062,0.08408815387560598,0.08758181674419098,,0.08918467742956165,KMeans,GMM
46,0.0922035128046946,0.08393496109043627,0.08758181674419098,,0.08881870604288794,KMeans,GMM
Average,0.09201466143270541,0.08420527651284158,0.08757790967784104,0.08639882100693314,0.08895788048131267,KMeans,GMM
