,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.021299978683167162,0.03005883535311213,0.014616861595727226,,0.022614435376600774,GMM,FuzzyCMeans
94,0.021219428049241325,0.02983438625258982,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
60,0.02140279247424538,0.02977970046520489,0.014616861595727226,,0.02235080364301495,GMM,FuzzyCMeans
17,0.020982855564589186,0.02888426314326267,0.014616861595727226,,0.022590297088888947,GMM,FuzzyCMeans
1,0.021783826674433546,0.03005883535311213,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
63,0.02098865134383826,0.02796904083044476,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
11,0.021553027774614784,0.02835277551601051,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
77,0.020959566365061126,0.029993072204433303,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
4,0.021253074456625696,0.028443690324835947,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
45,0.021346931636039502,0.029615877606245684,0.014616861595727226,,0.022614435376600774,GMM,FuzzyCMeans
24,0.02053102908009942,0.029035342157915107,0.014594176655405123,,0.02141880217486366,GMM,FuzzyCMeans
15,0.020783846793050488,0.029219244954899685,0.014594176655405123,,0.022302808889261425,GMM,FuzzyCMeans
3,0.021458728524862063,0.030157603553916806,0.014616861595727226,,0.022614435376600774,GMM,FuzzyCMeans
42,0.02098865134383826,0.02983438625258982,0.014594176655405123,0.019638407910497053,0.02141880217486366,GMM,FuzzyCMeans
32,0.02029841254813612,0.028760466427973107,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
21,0.021346931636039502,0.02983438625258982,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
62,0.02168010659495192,0.028443690324835947,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
7,0.02150585390539047,0.029752372205963388,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
0,0.021308811300571197,0.028059398552163363,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
78,0.021039647592267216,0.028320746350673397,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
9,0.02155747734119412,0.029752372205963388,0.014594176655405123,,0.022667343443575592,GMM,FuzzyCMeans
61,0.02122523429938532,0.028534737002434245,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
57,0.021219428049241325,0.029615877606245684,0.014594176655405123,,0.022374818820781794,GMM,FuzzyCMeans
84,0.02143518403670206,0.028878938193332707,0.014594176655405123,,0.02141880217486366,GMM,FuzzyCMeans
19,0.021308811300571197,0.029927374986184734,0.014616861595727226,,0.02141880217486366,GMM,FuzzyCMeans
56,0.019922229891300953,0.02879272163984921,0.014594176655405123,,0.022614435376600774,GMM,FuzzyCMeans
2,0.020403061242544485,0.02903000028945133,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
14,0.0213881315022371,0.02977970046520489,0.014616861595727226,,0.02150275734315505,GMM,FuzzyCMeans
87,0.021783826674433546,0.028443690324835947,0.014594176655405123,,0.022590297088888947,GMM,FuzzyCMeans
46,0.020633427166459037,0.029867180486673632,0.014616861595727226,,0.02141880217486366,GMM,FuzzyCMeans
Average,0.021153632128171056,0.0292343569094316,0.01460022597282435,0.019638407910497053,0.02234466225563348,GMM,FuzzyCMeans
