,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.1340733033027454,0.14611111341395405,0.13237390639967583,,0.2792778104923438,Spectral,FuzzyCMeans
94,0.1341937327716609,0.14579435051291167,0.13237390639967583,,0.27886267566909406,Spectral,FuzzyCMeans
60,0.13448301180218628,0.145850804349515,0.13237390639967583,,0.27889781821450027,Spectral,FuzzyCMeans
17,0.13460540955198144,0.14638107687453936,0.1324325965802441,,0.27723858293331893,Spectral,FuzzyCMeans
1,0.13459545527066977,0.14371933615262888,0.13237390639967583,,0.27991916282560625,Spectral,FuzzyCMeans
63,0.13450209476690245,0.14377582156400212,0.1324325965802441,,0.278753461164938,Spectral,FuzzyCMeans
11,0.13476243945715796,0.14397753729766,0.13248483605329564,,0.2778011840883378,Spectral,FuzzyCMeans
77,0.13487573354929233,0.14595454670851302,0.1324325965802441,,0.2799871986351237,Spectral,FuzzyCMeans
4,0.13463331451698304,0.14384495487852536,0.13237390639967583,,0.279077637256408,Spectral,FuzzyCMeans
45,0.1352126825804503,0.1460847615374051,0.1324325965802441,,0.2787036007338352,Spectral,FuzzyCMeans
24,0.13388230662103012,0.14603214297479494,0.1324325965802441,,0.27957773187553614,Spectral,FuzzyCMeans
15,0.13433195471575451,0.1444685557647705,0.13237390639967583,,0.2790923686246307,Spectral,FuzzyCMeans
3,0.1348024017857985,0.1462863968844138,0.13237390639967583,,0.2780389914844465,Spectral,FuzzyCMeans
42,0.13501691422398313,0.14601836917906932,0.13237390639967583,0.190799256599252,0.2793751998808246,Spectral,FuzzyCMeans
32,0.13381849318024072,0.1436023814103571,0.1324325965802441,,0.27907835828580785,Spectral,FuzzyCMeans
21,0.1344273894837333,0.14612507035130526,0.1324325965802441,,0.27885753966051563,Spectral,FuzzyCMeans
62,0.13457578050507452,0.14612507035130526,0.13237390639967583,,0.27841674542982753,Spectral,FuzzyCMeans
7,0.13399247229182684,0.14370466116919497,0.1324325965802441,,0.27907835828580785,Spectral,FuzzyCMeans
0,0.13461969347845726,0.1438503722636019,0.1324325965802441,,0.27970767559128923,Spectral,FuzzyCMeans
78,0.13455123535650113,0.14629091401265257,0.13239208242783163,,0.2788085982933542,Spectral,FuzzyCMeans
9,0.13488809931612125,0.14612507035130526,0.13237390639967583,,0.27918715674052097,Spectral,FuzzyCMeans
61,0.13443297099474508,0.14479453218183228,0.1324325965802441,,0.27907835828580785,Spectral,FuzzyCMeans
57,0.13442255805018688,0.14598707035136277,0.1324325965802441,,0.27820236111190855,Spectral,FuzzyCMeans
84,0.1346178733606589,0.14638107687453936,0.13239208242783163,,0.2776933792579632,Spectral,FuzzyCMeans
19,0.13454579628870256,0.14388975772048654,0.13237390639967583,,0.27942740295861945,Spectral,FuzzyCMeans
56,0.13455798769566849,0.1459536227934633,0.1324325965802441,,0.2785269601911443,Spectral,FuzzyCMeans
2,0.13485443368614997,0.14569623671660858,0.13237390639967583,,0.2779384759752761,Spectral,FuzzyCMeans
14,0.13459195093713872,0.14349453467516488,0.1324325965802441,,0.27907835828580785,Spectral,FuzzyCMeans
87,0.13448419007240053,0.1438300947309795,0.13237390639967583,,0.27775856734793647,Spectral,FuzzyCMeans
46,0.13456653051851553,0.14603214297479494,0.13237390639967583,,0.279077637256408,Spectral,FuzzyCMeans
Average,0.13453060700442393,0.14520607923405526,0.13240424820158647,0.190799256599252,0.27881731189456466,Spectral,FuzzyCMeans
