,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral
68,6.171754637886998e-05,0.00015521712903267439,-2.1662940528183503e-05,2.7680020275764397e-05,7.850226137991004e-05
94,4.476497649552029e-05,0.00018638087815717072,-1.8960778188818602e-05,2.7680020275764397e-05,8.692698182376358e-05
60,5.03723775609137e-05,0.00014735197776455727,-2.166294052818318e-05,2.7680020275764397e-05,7.850226137991004e-05
17,4.476497649552029e-05,0.00014735197776455727,-1.8960778188818602e-05,2.7680020275764397e-05,7.850226137991e-05
1,7.006100794179085e-05,0.00015026875661705818,-1.8960778188818602e-05,2.7680020275764397e-05,8.30490462357962e-05
63,7.03549534131678e-05,0.0001403347892437303,-2.166294052818318e-05,2.7680020275764397e-05,7.850226137991004e-05
11,6.330037583151983e-05,0.0001802448436909012,-2.166294052818318e-05,2.7680020275764397e-05,7.850226137991e-05
77,7.482633242228245e-05,0.00019424155250824114,-1.8960778188818602e-05,2.7680020275764397e-05,8.30490462357962e-05
4,6.21987682353604e-05,0.00014238768774204244,-1.8960778188818602e-05,2.7680020275764397e-05,8.30490462357962e-05
45,3.619038755235835e-05,0.0001306595384970456,-2.166294052818318e-05,2.7680020275764397e-05,7.850226137991e-05
24,6.115361091607214e-05,0.00018638087815717072,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991004e-05
15,5.828035087327052e-05,0.00018638087815717126,-1.8960778188818602e-05,2.7680020275764397e-05,7.850226137991004e-05
3,4.476497649552055e-05,0.00014735197776455727,-1.8960778188818602e-05,2.7680020275764397e-05,7.850226137991004e-05
42,6.302178594279155e-05,0.0001306595384970456,-1.8960778188818853e-05,2.7680020275764397e-05,8.30490462357962e-05
32,7.207481490454878e-05,0.00013065953849704563,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991004e-05
21,4.022045652720439e-05,0.00019424155250824098,-2.1662940528183503e-05,2.7680020275764397e-05,7.850226137991004e-05
62,3.619038755235835e-05,0.00019106318280229145,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991004e-05
7,5.923330267779271e-05,0.0001341236006599497,-1.8960778188818853e-05,2.7680020275764397e-05,7.59966780018099e-05
0,7.207481490454878e-05,0.00018638087815717072,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991004e-05
78,5.775034714368689e-05,0.00014551966860787475,-1.8960778188818602e-05,2.7680020275764397e-05,7.850226137991004e-05
9,4.476497649552055e-05,0.0001403347892437303,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991e-05
61,5.944159612871738e-05,0.00014735197776455722,-1.8960778188818853e-05,2.7680020275764397e-05,7.940940383772931e-05
57,6.88531659851995e-05,0.00013065953849704563,-1.8960778188818602e-05,2.7680020275764397e-05,7.850226137991004e-05
84,5.78056705719092e-05,0.00013965354746323975,-1.8960778188818602e-05,2.7680020275764397e-05,7.850226137991004e-05
19,6.115361091607214e-05,0.00014238768774204222,-2.166294052818318e-05,2.7680020275764397e-05,8.30490462357962e-05
56,6.281381659459402e-05,0.00018638087815717126,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991e-05
2,7.207481490454878e-05,0.00019106318280229123,-1.8960778188818602e-05,2.7680020275764397e-05,8.30490462357962e-05
14,5.178435772747296e-05,0.00013065953849704563,-2.166294052818318e-05,2.7680020275764397e-05,8.30490462357962e-05
87,6.281381659459402e-05,0.00018638087815717126,-1.8960778188818853e-05,2.7680020275764397e-05,7.850226137991004e-05
46,5.178435772747296e-05,0.00014735197776455722,-2.166294052818318e-05,2.7680020275764397e-05,8.30490462357961e-05
